onset	duration	sample	value	trial_type	response_time	stim_file
368.786	n/a	n/a	R  6	STATUS	n/a	n/a
369.304	n/a	n/a	S  4	Up Button	n/a	n/a
369.494	n/a	n/a	S  9	STATUS	n/a	n/a
369.494	n/a	n/a	R 12	STATUS	n/a	n/a
370.552	n/a	n/a	S  1	Fixation	n/a	n/a
371.242	n/a	n/a	S  9	STATUS	n/a	n/a
371.242	n/a	n/a	R  6	STATUS	n/a	n/a
371.864	n/a	n/a	S  3	Left Button	n/a	n/a
372.084	n/a	n/a	S  9	STATUS	n/a	n/a
372.084	n/a	n/a	R 12	STATUS	n/a	n/a
373.142	n/a	n/a	S  1	Fixation	n/a	n/a
373.912	n/a	n/a	S 10	STATUS	n/a	n/a
373.912	n/a	n/a	R  6	STATUS	n/a	n/a
374.952	n/a	n/a	S  2	Right Button	n/a	n/a
375.102	n/a	n/a	S  9	STATUS	n/a	n/a
375.102	n/a	n/a	R 12	STATUS	n/a	n/a
376.16	n/a	n/a	S  1	Fixation	n/a	n/a
376.94	n/a	n/a	S  6	STATUS	n/a	n/a
376.94	n/a	n/a	R  6	STATUS	n/a	n/a
377.832	n/a	n/a	S  4	Up Button	n/a	n/a
378.142	n/a	n/a	S  9	STATUS	n/a	n/a
378.142	n/a	n/a	R 12	STATUS	n/a	n/a
379.198	n/a	n/a	S  1	Fixation	n/a	n/a
379.89	n/a	n/a	S  6	STATUS	n/a	n/a
379.89	n/a	n/a	R  6	STATUS	n/a	n/a
380.508	n/a	n/a	S  4	Up Button	n/a	n/a
380.808	n/a	n/a	S  9	STATUS	n/a	n/a
380.808	n/a	n/a	R 12	STATUS	n/a	n/a
381.864	n/a	n/a	S  1	Fixation	n/a	n/a
382.706	n/a	n/a	S  7	STATUS	n/a	n/a
382.706	n/a	n/a	R  6	STATUS	n/a	n/a
383.336	n/a	n/a	S  3	Left Button	n/a	n/a
383.596	n/a	n/a	S  9	STATUS	n/a	n/a
383.596	n/a	n/a	R 12	STATUS	n/a	n/a
384.652	n/a	n/a	S  1	Fixation	n/a	n/a
385.504	n/a	n/a	S  5	STATUS	n/a	n/a
385.504	n/a	n/a	R  6	STATUS	n/a	n/a
386.464	n/a	n/a	S  2	Right Button	n/a	n/a
386.686	n/a	n/a	S  8	STATUS	n/a	n/a
386.686	n/a	n/a	R 12	STATUS	n/a	n/a
387.742	n/a	n/a	S  1	Fixation	n/a	n/a
388.512	n/a	n/a	S  9	STATUS	n/a	n/a
388.512	n/a	n/a	R  6	STATUS	n/a	n/a
390.004	n/a	n/a	S  3	Left Button	n/a	n/a
390.336	n/a	n/a	S  9	STATUS	n/a	n/a
390.336	n/a	n/a	R 12	STATUS	n/a	n/a
391.392	n/a	n/a	S  1	Fixation	n/a	n/a
391.529	0.274	n/a	boundary	n/a	n/a	n/a
391.968	n/a	n/a	S  9	STATUS	n/a	n/a
391.968	n/a	n/a	R  6	STATUS	n/a	n/a
392.518	n/a	n/a	S  3	Left Button	n/a	n/a
392.778	n/a	n/a	S  9	STATUS	n/a	n/a
392.778	n/a	n/a	R 12	STATUS	n/a	n/a
393.834	n/a	n/a	S  1	Fixation	n/a	n/a
394.586	n/a	n/a	S  9	STATUS	n/a	n/a
394.586	n/a	n/a	R  6	STATUS	n/a	n/a
395.254	n/a	n/a	S  3	Left Button	n/a	n/a
395.464	n/a	n/a	S  8	STATUS	n/a	n/a
395.464	n/a	n/a	R 12	STATUS	n/a	n/a
396.52	n/a	n/a	S  1	Fixation	n/a	n/a
396.521	0.526	n/a	boundary	n/a	n/a	n/a
396.786	n/a	n/a	S  7	STATUS	n/a	n/a
396.786	n/a	n/a	R  6	STATUS	n/a	n/a
397.304	n/a	n/a	S  3	Left Button	n/a	n/a
397.634	n/a	n/a	S  9	STATUS	n/a	n/a
397.634	n/a	n/a	R 12	STATUS	n/a	n/a
398.692	n/a	n/a	S  1	Fixation	n/a	n/a
399.512	n/a	n/a	S  7	STATUS	n/a	n/a
399.512	n/a	n/a	R  6	STATUS	n/a	n/a
400.626	n/a	n/a	S  3	Left Button	n/a	n/a
400.898	n/a	n/a	S  9	STATUS	n/a	n/a
400.898	n/a	n/a	R 12	STATUS	n/a	n/a
401.954	n/a	n/a	S  1	Fixation	n/a	n/a
402.616	n/a	n/a	S  7	STATUS	n/a	n/a
402.616	n/a	n/a	R  6	STATUS	n/a	n/a
403.47	n/a	n/a	S  3	Left Button	n/a	n/a
403.632	n/a	n/a	S  9	STATUS	n/a	n/a
403.632	n/a	n/a	R 12	STATUS	n/a	n/a
404.688	n/a	n/a	S  1	Fixation	n/a	n/a
405.44	n/a	n/a	S  5	STATUS	n/a	n/a
405.44	n/a	n/a	R  6	STATUS	n/a	n/a
406.354	n/a	n/a	S  2	Right Button	n/a	n/a
406.676	n/a	n/a	S  9	STATUS	n/a	n/a
406.676	n/a	n/a	R 12	STATUS	n/a	n/a
407.583	0.776	n/a	boundary	n/a	n/a	n/a
407.638	n/a	n/a	S  6	STATUS	n/a	n/a
407.638	n/a	n/a	R  6	STATUS	n/a	n/a
408.194	n/a	n/a	S  4	Up Button	n/a	n/a
408.536	n/a	n/a	S  9	STATUS	n/a	n/a
408.536	n/a	n/a	R 12	STATUS	n/a	n/a
409.592	n/a	n/a	S  1	Fixation	n/a	n/a
410.404	n/a	n/a	S 10	STATUS	n/a	n/a
410.404	n/a	n/a	R  6	STATUS	n/a	n/a
411.01	n/a	n/a	S  2	Right Button	n/a	n/a
411.172	n/a	n/a	S  8	STATUS	n/a	n/a
411.172	n/a	n/a	R 12	STATUS	n/a	n/a
412.228	n/a	n/a	S  1	Fixation	n/a	n/a
412.9	n/a	n/a	S  8	STATUS	n/a	n/a
412.9	n/a	n/a	R  6	STATUS	n/a	n/a
414.33	n/a	n/a	S  2	Right Button	n/a	n/a
414.582	n/a	n/a	S  9	STATUS	n/a	n/a
414.582	n/a	n/a	R 12	STATUS	n/a	n/a
415.513	0.498	n/a	boundary	n/a	n/a	n/a
415.902	n/a	n/a	S  5	STATUS	n/a	n/a
415.902	n/a	n/a	R  6	STATUS	n/a	n/a
416.696	n/a	n/a	S  3	Left Button	n/a	n/a
416.988	n/a	n/a	S  9	STATUS	n/a	n/a
416.988	n/a	n/a	R 12	STATUS	n/a	n/a
418.044	n/a	n/a	S  1	Fixation	n/a	n/a
418.766	n/a	n/a	S  8	STATUS	n/a	n/a
418.766	n/a	n/a	R  6	STATUS	n/a	n/a
419.324	n/a	n/a	S  2	Right Button	n/a	n/a
419.616	n/a	n/a	S  9	STATUS	n/a	n/a
419.616	n/a	n/a	R 12	STATUS	n/a	n/a
420.674	n/a	n/a	S  1	Fixation	n/a	n/a
421.504	n/a	n/a	S  5	STATUS	n/a	n/a
421.504	n/a	n/a	R  6	STATUS	n/a	n/a
421.988	n/a	n/a	S  3	Left Button	n/a	n/a
422.26	n/a	n/a	S  9	STATUS	n/a	n/a
422.26	n/a	n/a	R 12	STATUS	n/a	n/a
423.316	n/a	n/a	S  1	Fixation	n/a	n/a
424.068	n/a	n/a	S  5	STATUS	n/a	n/a
424.068	n/a	n/a	R  6	STATUS	n/a	n/a
424.628	n/a	n/a	S  3	Left Button	n/a	n/a
424.81	n/a	n/a	S  9	STATUS	n/a	n/a
424.81	n/a	n/a	R 12	STATUS	n/a	n/a
425.866	n/a	n/a	S  1	Fixation	n/a	n/a
426.638	n/a	n/a	S  6	STATUS	n/a	n/a
426.638	n/a	n/a	R  6	STATUS	n/a	n/a
427.472	n/a	n/a	S  3	Left Button	n/a	n/a
427.774	n/a	n/a	S  8	STATUS	n/a	n/a
427.774	n/a	n/a	R 12	STATUS	n/a	n/a
428.83	n/a	n/a	S  1	Fixation	n/a	n/a
429.642	n/a	n/a	S  5	STATUS	n/a	n/a
429.642	n/a	n/a	R  6	STATUS	n/a	n/a
430.468	n/a	n/a	S  3	Left Button	n/a	n/a
430.77	n/a	n/a	S  9	STATUS	n/a	n/a
430.77	n/a	n/a	R 12	STATUS	n/a	n/a
431.826	n/a	n/a	S  1	Fixation	n/a	n/a
432.598	n/a	n/a	S  8	STATUS	n/a	n/a
432.598	n/a	n/a	R  6	STATUS	n/a	n/a
434.004	n/a	n/a	S  2	Right Button	n/a	n/a
434.296	n/a	n/a	S  9	STATUS	n/a	n/a
434.296	n/a	n/a	R 12	STATUS	n/a	n/a
435.279	0.776	n/a	boundary	n/a	n/a	n/a
435.428	n/a	n/a	S  5	STATUS	n/a	n/a
435.428	n/a	n/a	R  6	STATUS	n/a	n/a
